"","Rank","Device","MSRP Price","3DMark CPU","16 threads","8 threads","4 threads","2 threads","Single thread","Value for Money","Popularity"
"152",152,"AMD Ryzen 5 5600X",299,5636,5643,4812,3377,1799,919,18,3
"153",153,"AMD Ryzen 7 8840U",NA,5544,5601,4840,3257,1863,976,NA,0
"154",154,"AMD Ryzen 5 5600G",259,5495,5489,4675,3255,1707,873,21,0.4
"155",155,"AMD Ryzen 7 7840U",NA,5467,5481,4601,3030,1734,927,NA,0.1
"156",156,"AMD Ryzen 5 5500",NA,5430,5423,4539,3141,1644,838,NA,0.4
"157",157,"Intel Core i5-10600KF Processor",237,5374,5381,4504,2958,1554,801,22,0.2
"158",158,"Intel Core i5-10600K Processor",262,5372,5386,4475,2952,1549,799,20,0.1
"159",159,"Intel Core i5-11400H",NA,5322,5359,4520,3089,1688,884,NA,0.1
"160",160,"Intel Core i5-11260H",NA,5309,5391,4464,2997,1632,857,NA,0
"161",161,"Intel Core i7-10870H Processor",NA,5295,5272,4174,2525,1373,720,NA,0.1
"162",162,"Intel Core i5-12450H Processor",NA,5188,5185,4301,3107,1750,915,NA,0.1
"163",163,"Intel Core i7-10875H",450,5135,5136,4005,2522,1396,749,11,0.1
"164",164,"Intel Core i5-10500 Processor",192,4962,4995,4138,2689,1427,735,25,0
"165",165,"AMD Ryzen 5 3600XT",249,4915,4908,4198,2807,1484,755,19,0.1
"166",166,"AMD Ryzen 5 5600H",NA,4909,4965,4281,2966,1583,815,NA,0.1
"167",167,"AMD Ryzen 5 4600G",NA,4865,4865,4124,2713,1427,726,NA,0
"168",168,"Intel Xeon Processor E5-2666 v3",NA,4841,4541,3416,1788,910,461,NA,0.1
"169",169,"AMD Ryzen 5 PRO 4650G",NA,4837,4811,4114,2710,1417,722,NA,0
"170",170,"AMD Ryzen 5 4500",NA,4821,4809,4082,2680,1400,711,NA,0.1
"171",171,"Intel Core i5-10400F Processor",155,4755,4770,3925,2559,1351,689,30,0.3
"172",172,"Intel Core i5-10400 Processor",182,4739,4763,3919,2565,1350,688,26,0.1
"173",173,"Intel Core i7-1260P Processor",NA,4662,4419,3294,2682,1630,909,NA,0
"174",174,"AMD Ryzen 5 3600",199,4622,4625,3822,2581,1366,700,23,1.1
"175",175,"AMD Ryzen 7 5700U",NA,4497,4466,3849,2463,1375,720,NA,0
"176",176,"Intel Core i7-1360P Processor",NA,4470,4294,3326,2582,1612,931,NA,0
"177",177,"AMD Ryzen 5 4600H",NA,4403,4447,3750,2487,1321,672,NA,0
"178",178,"Intel Core i5-1240P Processor",NA,4284,3872,2991,2357,1487,851,NA,0
"179",179,"Intel Core i7-10750H",395,4229,4214,3489,2400,1362,730,10,0.2
"180",180,"Intel Core i3-13100F Processor",NA,4229,4244,4226,2973,1745,936,NA,0
"181",181,"Intel Core i3-12100F Processor",99,4024,4055,4027,2814,1644,891,40,0.2
"182",182,"Intel Core i3-12100 Processor",NA,4005,4046,4014,2810,1640,892,NA,0.1
"183",183,"AMD Ryzen 5 3500X",NA,3834,3851,3851,2642,1351,682,NA,0.1
"184",184,"AMD Ryzen 5 5500U",NA,3771,3774,3405,2497,1356,685,NA,0
"185",185,"Intel Core i7-11370H",NA,3590,3599,3558,2606,1637,901,NA,0
"186",186,"Intel Core i5-1235U Processor",NA,3379,3275,2627,1823,1347,839,NA,0
"187",187,"AMD Ryzen 5 1600 AF",NA,3319,3309,2749,1838,966,491,NA,0
"188",188,"Intel Core i3-10105F Processor",97,3262,3321,3264,2379,1376,717,33,0
"189",189,"AMD Ryzen 3 3300X",120,3199,3231,3194,2316,1400,724,26,0
"190",190,"Intel Core i3-10100F Processor",97,3176,3246,3182,2327,1338,699,32,0
"191",191,"Intel Core i3-10100 Processor",NA,3166,3224,3177,2342,1347,703,NA,0
"192",192,"AMD Ryzen 3 3100",99,2982,3008,2981,2156,1272,662,30,0
"193",193,"Intel Core i5-10300H",NA,2973,3008,2977,2203,1336,706,NA,0.1
"194",194,"Intel Core i5-1135G7 Processor",NA,2778,2683,2523,1991,1355,802,NA,0.1
"195",195,"Intel Core i7-1165G7 Processor",NA,2739,2649,2600,2050,1374,812,NA,0.1
"196",196,"AMD Ryzen 5 3400G",149,2394,2421,2404,1704,991,517,16,0
"197",197,"Intel Core i7-1065G7 Processor",426,2113,2072,1981,1602,1144,680,4,0
"198",198,"AMD Ryzen 3 3200G",99,1933,1950,1943,1934,993,492,19,0
"199",199,"AMD Ryzen 5 3550H",NA,1841,1872,1842,1349,859,450,NA,0
"200",200,"Intel Processor N100",NA,1255,1253,1257,1258,729,388,NA,0
